Gender,Age,Weight(kg),Height(cm),RMR
female,41,43.706420083699626,198.93832517214355,1249.3843968288852
female,41,104.65222839144695,182.58938938174782,1801.9636304636406
female,33,85.43642236542752,194.92485975478786,1678.431497626941
male,51,58.724571901129664,165.52300048283183,1357.5694350561407
male,33,44.806824878171476,180.3365285216047,1361.902494268446
female,28,60.24069803333237,179.99885283831003,1433.2516730436314
female,25,85.13733424646182,209.87055207196653,1740.6288487320526
male,55,68.58702001259363,152.2791349852801,1399.8990375045187
female,51,105.36899173746298,175.0915564355171,1748.1870473910653
male,25,72.33541979522997,138.88647936253187,1587.0860784351592
male,25,93.90765535060807,191.80266203577202,2148.4439792358285
female,27,111.09522758572152,153.25701166606905,1874.777132984483
male,51,95.08581482532321,147.47225128864108,1767.2286270452655
female,36,58.75121529631876,187.24822115981797,1395.0110810243596
male,20,73.51614104255295,186.4784545281972,1875.1986473396737
male,31,60.325185113762245,162.43757150011479,1499.2414655293053
female,53,101.36182805407557,199.18564921586483,1745.0886127304748
female,27,51.949694485563654,194.34037060935083,1385.1726139927441
female,33,62.98763190892749,191.64042323561728,1457.6775069309656
male,46,48.39392185797202,134.9335211767917,1096.258831994604
female,56,90.90943001545857,198.1540624092048,1629.1958946948591
female,42,45.399559852393324,176.013291797977,1218.4885806946947
male,47,92.97797972094816,170.97725702651888,1882.861438066711
female,18,54.346423854477955,177.17105783462017,1418.4133083144202
male,60,97.11426403949093,156.30872003559472,1778.533656881081
male,60,80.27051342790847,142.50738356277262,1477.8839995982928
female,40,57.83080172426389,153.30770032693837,1304.715202493972
male,24,98.05696334732365,166.22976383984928,2084.310754516466
female,51,55.610169876421516,137.78742504839155,1203.3307908677434
female,56,55.00116185355444,211.5029876634804,1310.50063798298
male,18,118.72676502031447,176.58207595642529,2460.8431450393196
male,49,62.71709802292455,141.24995723402276,1304.5386338570283
male,21,81.15013950134984,174.3788981868138,1912.8770457721898
male,52,79.04308523510798,190.2082367573909,1753.6942304799616
female,44,105.27300851431269,200.43669765006945,1826.889671075001
male,53,53.876172112018075,172.74850965667721,1313.543160352605
male,45,109.47382091061742,145.96491125256458,1998.0524885175705
female,32,70.6575782590896,134.75078005699032,1430.455363997106
male,32,85.5050709939799,139.5068998814089,1723.987746273912
male,55,76.09675305341008,198.39290739219481,1733.8650701675392
male,49,47.88366269508355,187.25389141691232,1330.7365808162112
female,46,102.21959703124419,139.3160606384214,1675.264718590868
male,49,64.81451646314224,205.6844686667273,1655.7439981078423
female,42,119.29712072597323,205.3594587699476,1979.4613642268853
female,51,95.136540256878,211.41275192675795,1717.5283255410263
female,41,116.75599596860998,162.17727083017581,1879.949540483643
female,33,76.94112192097023,142.35621845215752,1499.93895306673
male,34,64.90645599761594,152.85340514770076,1494.019355921166
female,20,102.55169245233773,197.8781797630285,1908.3564674833087
female,29,93.29523954215196,161.90688932713124,1711.2061209967922
male,23,70.24718441455818,190.99214693754277,1832.5674968287015
female,40,55.767652741865476,209.61425044190548,1389.152426487985
male,38,91.43818171022352,147.53643591393222,1805.209787392976
male,32,110.01749723832904,134.51614496152897,2036.0648602695535
female,24,47.76391763505835,164.74670051968928,1304.4237403054883
female,58,64.31302950771536,203.38154448703887,1375.173358483304
female,32,64.41132246562171,159.28694898246295,1416.114332356297
male,21,98.41777739583989,141.36870099728276,1985.1570502822042
